2026-08-15T08:37:11Z	1786783031	preflight_v2_start	command=hiprofiler_cmd_-t_15_-c_/data/local/tmp/arktrace-dayu200-20260815T081830Z-preflight-15s.pbtxt_-o_/data/local/tmp/arktrace-dayu200-20260815T081830Z-preflight-15s.htrace command_sha256=6dd46b4c7bc20bb1eaa981d8ac0d9e2e7828c0d9994f07d00c463703c810f23f
2026-08-15T08:38:43Z	1786783123	preflight_v2_rejected	cause=ftrace_plugin_service_not_started daemon_log=ftrace-plugin_not_found device_hilog_sha256=7cd06c6bf7e0e7aac4833b490dcad4d9a0a59e1d07d6198c6fc3c73e3bd94fe3 command_output_sha256=c4937ccab586c86caad0c935a62c6fe77f005349ce273c954c77527d8b0225b5 failed_artifact_size=1153 failed_artifact_sha256=75d4809185503e5d8bc133e333014f7433719940c0c06b984296691f59c297ad accepted_as_capture=false
2026-08-15T08:39:37Z	1786783177	plugin_service_ready	plugin_service_pid=2574 plugin_service_state=2 ftrace_plugin_listed=true failed_preflight_preserved=/private/tmp/arktrace-dayu200-recapture-20260815T081830Z/preflight-v2-failed-1153.htrace failed_preflight_sha256=75d4809185503e5d8bc133e333014f7433719940c0c06b984296691f59c297ad device_failed_path_removed=true recoverable=true
2026-08-15T08:39:48Z	1786783188	preflight_v3_start	command=hiprofiler_cmd_-t_15_-c_/data/local/tmp/arktrace-dayu200-20260815T081830Z-preflight-15s.pbtxt_-o_/data/local/tmp/arktrace-dayu200-20260815T081830Z-preflight-15s.htrace command_sha256=6dd46b4c7bc20bb1eaa981d8ac0d9e2e7828c0d9994f07d00c463703c810f23f ftrace_plugin_ready=true
2026-08-15T08:40:33Z	1786783233	preflight_v3_device_complete	device_epoch=1786783219 cli_exit=0 size=2044246 device_sha256=6043e6bc54f1c58ded3d437281238d1d4d4085ed72e60b87fc79aef4a3f4b658 command_output_sha256=cace618a2c97758b5e92b49217eba4eb15371f923ecf61560c32ab9566e548c0
2026-08-15T08:41:32Z	1786783292	preflight_v3_verified	host_device_sha256_match=true trace_sha256=6043e6bc54f1c58ded3d437281238d1d4d4085ed72e60b87fc79aef4a3f4b658 size=2044246 allocated_bytes=2048000 verifier_exit=0 segment_count=1 protobuf_packet_count=694 payload_sha256=704adf4172f5c16837f714597f3d7a7d0b3860d3d0253668524269819f4dca58 integrity_json_sha256=81d6434ee529d1cc2431ca7d4350994292aca04fea2f8474bfd31b7c35ebf4ba
2026-08-15T08:42:18Z	1786783338	formal_capture_start	session_id=20260815T081830Z command=hiprofiler_cmd_-t_600_-c_/data/local/tmp/arktrace-dayu200-20260815T081830Z-600s.pbtxt_-o_/data/local/tmp/arktrace-dayu200-20260815T081830Z-600s.htrace command_sha256=98a5d48355a3a410ab408ebd11c7e183c5a5e77a66fd37d6168c95b656d7f4d0 config_sha256=ace0e3bb22e0fa31b990fe7b446a35607d685963245de1ab5c6a1a89cfa1fead formal_prestart_sha256=c2347e36dfd96730b34b5bd55a4af154415f8afbdc94d27222f820f3152af371 root_mount=ro output_preexisting=false
2026-08-15T08:42:35Z	1786783355	formal_workload_start	command=sh_/data/local/tmp/arktrace-dayu200-20260815T081830Z-swipe-workload.sh workload_sha256=5c99f65e3dbb76513794b0b1503a9ccff38f0c18574a0e6e0f812bcaa36de2d7
2026-08-15T08:43:05Z	1786783385	formal_capture_running	device_epoch=1786783370 capture_pid=2720 workload_pid=2737 byte_count=19214756 hiprofilerd_pid=2337 plugin_pid=2574
2026-08-15T08:44:09Z	1786783449	formal_capture_milestone_1	device_epoch=1786783437 byte_count=76035810 allocated_512_blocks=148664 capture_alive=true workload_alive=true
2026-08-15T08:45:30Z	1786783530	formal_capture_milestone_2	device_epoch=1786783503 byte_count=126790662 allocated_512_blocks=247888 capture_alive=true workload_alive=true projected_under_500MiB=true
2026-08-15T08:45:30Z	1786783530	formal_burst_workload_start	command=sh_/data/local/tmp/arktrace-dayu200-20260815T081830Z-final-swipe-burst.sh workload_sha256=8928412ab727e048b97122a386e37286636a21cef382fcfb78ca2b6d97ef3caf reason=increase_real_event_rate_to_exceed_500MiB
